time,S,E,I,C,R,D,R_0_over_time,total_cases
0.0,11588999,1,0,0,0,0,2.86,0
1.0,11588998,0,0,0,0,0,2.86,0
2.0,11588998,0,0,0,0,0,2.86,0
3.0,11588998,0,0,0,0,0,2.86,0
4.0,11588998,0,0,0,0,0,2.86,0
5.0,11588998,0,0,0,0,0,2.86,0
6.0,11588997,0,0,0,0,0,2.86,0
7.0,11588997,0,1,0,0,0,2.86,1
8.0,11588997,0,1,0,0,0,2.86,1
9.0,11588996,1,1,0,0,0,2.86,1
10.0,11588996,1,1,0,0,0,2.86,1
11.0,11588995,1,1,0,1,0,2.86,2
12.0,11588995,1,2,0,1,0,2.86,3
13.0,11588994,1,2,0,1,0,2.86,3
14.0,11588993,1,2,0,1,0,2.86,3
15.0,11588992,2,3,0,2,0,2.86,5
16.0,11588991,2,3,0,2,0,2.86,5
17.0,11588990,2,3,0,2,0,2.86,5
18.0,11588989,3,4,0,3,0,2.86,7
19.0,11588987,3,5,0,3,0,2.86,8
20.0,11588985,3,5,0,4,0,2.86,9
21.0,11588983,4,6,0,4,0,2.86,10
22.0,11588981,5,7,0,5,0,2.86,12
23.0,11588979,5,8,0,6,0,2.86,14
24.0,11588976,6,9,0,7,0,2.86,16
25.0,11588973,7,10,0,8,0,2.86,18
26.0,11588969,8,11,0,9,0,2.86,20
27.0,11588965,9,13,0,10,0,2.86,23
28.0,11588961,10,15,0,12,0,2.86,27
29.0,11588956,11,17,0,13,0,2.86,30
30.0,11588950,13,19,0,15,0,2.86,34
31.0,11588943,15,22,0,17,0,2.86,39
32.0,11588936,17,24,0,20,0,2.86,44
33.0,11588927,19,28,0,23,0,2.86,51
34.0,11588918,22,31,0,26,0,2.86,57
35.0,11588907,25,36,0,29,0,2.86,65
36.0,11588895,28,40,1,33,0,2.86,74
37.0,11588881,32,46,1,38,0,2.86,85
38.0,11588865,36,52,1,43,1,2.86,97
39.0,11588848,41,59,1,48,1,2.86,109
40.0,11588828,46,66,1,55,1,2.86,123
41.0,11588805,52,75,1,62,1,2.86,139
42.0,11588780,59,85,2,71,1,2.86,159
43.0,11588751,67,96,2,80,2,2.86,180
44.0,11588718,76,109,2,91,2,2.86,204
45.0,11588681,86,123,3,102,2,2.86,230
46.0,11588639,97,139,3,116,2,2.86,260
47.0,11588592,110,158,4,131,3,2.86,296
48.0,11588538,124,178,4,149,3,2.86,334
49.0,11588478,140,202,5,168,4,2.86,379
50.0,11588409,159,228,5,191,4,2.86,428
51.0,11588332,180,258,6,216,5,2.86,485
52.0,11588244,203,292,7,244,6,2.86,549
53.0,11588145,230,331,8,276,6,2.86,621
54.0,11588033,260,374,9,313,7,2.86,703
55.0,11587907,295,423,10,354,8,2.86,795
56.0,11587763,333,479,12,400,10,2.86,901
57.0,11587601,377,542,14,453,11,2.86,1020
58.0,11587418,426,613,15,512,12,2.86,1152
59.0,11587211,482,693,17,580,14,2.86,1304
60.0,11586976,546,784,20,656,16,2.86,1476
61.0,11586711,617,887,22,742,18,2.86,1669
62.0,11586411,698,1003,25,839,20,2.86,1887
63.0,11586071,790,1135,29,949,23,2.8599999999999985,2136
64.0,11585688,893,1284,33,1074,26,2.8599999999999945,2417
65.0,11585253,1010,1452,37,1215,30,2.8599999999999755,2734
66.0,11584762,1143,1642,42,1374,34,2.8599999999998835,3092
67.0,11584207,1292,1857,48,1554,38,2.8599999999994457,3497
68.0,11583579,1462,2101,54,1758,43,2.8599999999973567,3956
69.0,11582869,1653,2376,61,1988,49,2.8599999999874006,4474
70.0,11582066,1870,2687,69,2249,56,2.8599999999399413,5061
71.0,11581157,2115,3039,78,2544,63,2.859999999713716,5724
72.0,11580130,2392,3438,89,2877,71,2.859999998635349,6475
73.0,11578969,2705,3888,100,3255,81,2.8599999934950175,7324
74.0,11577655,3059,4397,113,3681,92,2.8599999689922235,8283
75.0,11576169,3459,4973,128,4164,104,2.8599998521929644,9369
76.0,11574490,3912,5624,145,4709,117,2.859999295437514,10595
77.0,11572590,4424,6360,164,5326,133,2.859996641513797,11983
78.0,11570443,5002,7192,186,6024,150,2.859983990936557,13552
79.0,11568015,5656,8134,210,6813,170,2.859923690220434,15327
80.0,11565270,6395,9198,238,7705,192,2.859636289413974,17333
81.0,11562167,7229,10400,269,8714,218,2.8582672013972177,19601
82.0,11558665,8168,11759,304,9855,246,2.851761147835203,22164
83.0,11554728,9211,13291,344,11144,278,2.8211976449785094,25057
84.0,11550395,10292,15005,389,12601,315,2.6850277676845016,28310
85.0,11546023,11084,16851,439,14243,356,2.1967126381442097,31889
86.0,11542613,10806,18607,495,16073,403,1.259895167864488,35578
87.0,11540750,9296,19879,553,18064,455,0.5861612344618276,38951
88.0,11539740,7509,20474,609,20152,513,0.3658492174384182,41748
89.0,11538983,6022,20485,660,22271,576,0.3141010251558866,43992
90.0,11538293,4901,20085,703,24371,644,0.3029713221938193,45803
91.0,11537633,4071,19421,737,26418,716,0.3006241120231893,47292
92.0,11537001,3454,18600,762,28388,791,0.3001311543953343,48541
93.0,11536399,2986,17694,778,30271,868,0.30002771492757335,49611
94.0,11535827,2625,16752,786,32060,946,0.3000060137648156,50544
95.0,11535287,2339,15806,787,33753,1025,0.300001461128538,51371
96.0,11534778,2108,14876,783,35349,1103,0.3000005060493406,52111
97.0,11534300,1917,13976,772,36852,1180,0.3000003056874696,52780
98.0,11533850,1755,13114,758,38264,1257,0.3000002636544475,53393
99.0,11533429,1615,12292,740,39589,1331,0.30000025483652815,53952
100.0,11533034,1492,11514,720,40833,1404,0.3000002529866564,54471
101.0,11532665,1383,10780,697,41998,1475,0.30000025259858015,54950
102.0,11532319,1284,10089,673,43089,1543,0.3000002525171673,55394
103.0,11531995,1195,9440,647,44111,1609,0.30000025250008805,55807
104.0,11531692,1113,8830,621,45068,1672,0.3000002524965051,56191
105.0,11531409,1038,8259,595,45964,1733,0.30000025249575346,56551
106.0,11531144,969,7724,568,46802,1791,0.30000025249559575,56885
107.0,11530896,904,7223,542,47586,1846,0.30000025249556267,57197
108.0,11530664,844,6754,516,48320,1899,0.30000025249555573,57489
109.0,11530447,789,6315,490,49006,1949,0.3000002524955543,57760
110.0,11530245,737,5904,465,49649,1997,0.30000025249555395,58015
111.0,11530055,689,5520,441,50249,2042,0.3000002524955539,58252
112.0,11529878,644,5161,418,50811,2085,0.3000002524955539,58475
113.0,11529713,602,4826,395,51336,2125,0.3000002524955539,58682
114.0,11529558,562,4512,374,51828,2164,0.3000002524955539,58878
115.0,11529413,526,4218,353,52287,2200,0.3000002524955539,59058
116.0,11529278,491,3944,333,52717,2234,0.3000002524955539,59228
117.0,11529152,459,3687,314,53119,2266,0.3000002524955539,59386
118.0,11529033,429,3447,296,53495,2297,0.3000002524955539,59535
119.0,11528923,401,3223,278,53846,2325,0.3000002524955539,59672
120.0,11528819,375,3013,262,54175,2352,0.3000002524955539,59802
121.0,11528723,351,2817,247,54483,2378,0.3000002524955539,59925
122.0,11528632,328,2633,232,54770,2402,0.3000002524955539,60037
123.0,11528548,306,2462,218,55039,2424,0.3000002524955539,60143
124.0,11528469,286,2302,205,55290,2445,0.3000002524955539,60242
125.0,11528395,268,2152,192,55525,2465,0.3000002524955539,60334
126.0,11528326,250,2012,180,55745,2484,0.3000002524955539,60421
127.0,11528262,234,1881,169,55950,2501,0.3000002524955539,60501
128.0,11528201,219,1758,159,56142,2518,0.3000002524955539,60577
129.0,11528145,204,1644,149,56322,2533,0.3000002524955539,60648
130.0,11528092,191,1537,140,56490,2547,0.3000002524955539,60714
131.0,11528043,179,1437,131,56647,2561,0.3000002524955539,60776
132.0,11527997,167,1343,123,56794,2574,0.3000002524955539,60834
133.0,11527954,156,1256,115,56931,2585,0.3000002524955539,60887
134.0,11527913,146,1174,108,57059,2597,0.3000002524955539,60938
135.0,11527876,136,1097,101,57179,2607,0.3000002524955539,60984
136.0,11527841,127,1026,95,57292,2617,0.3000002524955539,61030
137.0,11527808,119,959,89,57397,2626,0.3000002524955539,61071
138.0,11527777,111,897,83,57495,2635,0.3000002524955539,61110
139.0,11527748,104,838,78,57586,2643,0.3000002524955539,61145
140.0,11527719,99,784,73,57672,2650,0.3238086143668577,61179
141.0,11527692,94,734,68,57752,2657,0.3319166380721703,61211
142.0,11527665,90,687,64,57827,2664,0.3426856706411501,61242
143.0,11527640,86,644,59,57898,2670,0.3569112883338117,61271
144.0,11527614,83,604,56,57964,2676,0.3755682638634572,61300
145.0,11527589,81,568,52,58026,2681,0.3998074672875245,61327
146.0,11527564,79,535,49,58084,2686,0.430916410383827,61354
147.0,11527538,79,504,46,58139,2691,0.4702214945593759,61380
148.0,11527511,79,477,43,58191,2695,0.5189108350015479,61406
149.0,11527483,80,453,40,58240,2700,0.5777704538502698,61433
150.0,11527453,83,433,38,58287,2704,0.6468607763615837,61462
151.0,11527421,87,415,35,58332,2707,0.7252125955543921,61489
152.0,11527387,91,400,33,58375,2711,0.8106691248701907,61519
153.0,11527349,97,389,31,58416,2714,0.9000001262477769,61550
154.0,11527309,104,381,30,58457,2717,0.9893311276253632,61585
155.0,11527266,111,375,28,58496,2720,1.0747876569411619,61619
156.0,11527220,119,373,27,58536,2723,1.1531394761339702,61659
157.0,11527171,127,373,26,58575,2725,1.2222297986452841,61699
158.0,11527119,135,376,25,58614,2728,1.281089417494006,61743
159.0,11527064,143,381,24,58654,2731,1.3297787579361777,61790
160.0,11527007,151,389,23,58694,2733,1.3690838421117268,61839
161.0,11526946,160,398,23,58735,2735,1.4001927852080291,61891
162.0,11526883,168,409,22,58777,2738,1.4244319886320964,61946
163.0,11526818,176,421,22,58821,2740,1.443088964161742,62004
164.0,11526749,185,435,22,58865,2742,1.4573145818544038,62064
165.0,11526677,193,450,22,58911,2744,1.4680836144233835,62127
166.0,11526603,202,466,22,58959,2746,1.476191638128696,62193
167.0,11526525,210,483,22,59008,2749,1.4822711656984497,62262
168.0,11526444,219,501,22,59059,2751,1.486815671617442,62333
169.0,11526360,229,520,22,59112,2753,1.490204916677221,62407
170.0,11526273,238,540,23,59167,2755,1.492728239740172,62485
171.0,11526182,248,562,23,59225,2758,1.4946044733421595,62568
172.0,11526087,258,584,24,59284,2760,1.4959982320731278,62652
173.0,11525989,269,607,24,59346,2763,1.4970328528363646,62740
174.0,11525886,280,631,25,59410,2765,1.4978004737318176,62831
175.0,11525779,291,656,26,59477,2768,1.4983697764025055,62927
176.0,11525669,303,682,27,59546,2770,1.4987918752701022,63025
177.0,11525553,315,710,28,59618,2773,1.499104765587765,63129
178.0,11525433,328,738,29,59693,2776,1.4993366657752658,63236
179.0,11525308,341,768,30,59771,2779,1.4995085195054307,63348
180.0,11525178,355,799,31,59853,2782,1.4996358636405844,63465
181.0,11525043,369,831,32,59937,2785,1.4997302199324853,63585
182.0,11524903,384,864,33,60025,2788,1.4998001303643225,63710
183.0,11524757,399,899,34,60116,2792,1.499851926539973,63841
184.0,11524605,415,935,36,60211,2795,1.4998903009744595,63977
185.0,11524447,432,972,37,60310,2799,1.4999187310375564,64118
186.0,11524282,449,1011,38,60413,2803,1.4999397934150478,64265
187.0,11524111,468,1052,40,60520,2807,1.4999553972848616,64419
188.0,11523933,486,1094,41,60631,2811,1.499966957177615,64577
189.0,11523748,506,1138,43,60747,2815,1.4999755211004149,64743
190.0,11523556,526,1184,45,60867,2819,1.4999818654892865,64915
191.0,11523355,547,1232,47,60992,2824,1.4999865655714206,65095
192.0,11523147,569,1281,48,61122,2829,1.4999900475016454,65280
193.0,11522931,592,1333,50,61258,2834,1.4999926269920287,65475
194.0,11522705,616,1386,52,61398,2839,1.4999945379326556,65675
195.0,11522471,641,1442,55,61545,2844,1.4999959535962148,65886
196.0,11522227,666,1500,57,61697,2850,1.499997002347728,66104
197.0,11521974,693,1560,59,61856,2856,1.4999977792831398,66331
198.0,11521710,721,1622,61,62020,2862,1.499998354851698,66565
199.0,11521436,750,1688,64,62192,2868,1.4822699649481224,66812
200.0,11521154,777,1755,66,62370,2875,1.4784153557514632,67066
201.0,11520862,805,1824,69,62555,2881,1.4737412883132321,67329
202.0,11520560,834,1895,72,62748,2888,1.4680824280823652,67603
203.0,11520248,863,1967,75,62948,2896,1.46124427112035,67886
204.0,11519925,893,2042,78,63156,2903,1.4529999715102528,68179
205.0,11519592,923,2118,81,63371,2911,1.4430878032060515,68481
206.0,11519250,953,2196,84,63595,2920,1.431209854503385,68795
207.0,11518898,982,2276,87,63826,2928,1.41703277855174,69117
208.0,11518538,1010,2356,90,64066,2937,1.4001916678190034,69449
209.0,11518170,1037,2436,94,64314,2946,1.380298341058196,69790
210.0,11517795,1061,2516,97,64571,2956,1.3569554501947043,70140
211.0,11517416,1083,2596,101,64836,2966,1.3297777120617817,70499
212.0,11517034,1101,2673,104,65109,2976,1.2984210905476958,70862
213.0,11516650,1115,2748,108,65390,2987,1.2626197385513422,71233
214.0,11516268,1123,2818,112,65678,2998,1.2222288620008852,71606
215.0,11515890,1126,2883,115,65974,3009,1.1772694712802918,71981
216.0,11515519,1122,2941,119,66276,3021,1.1279686147224743,72357
217.0,11515159,1110,2990,122,66583,3033,1.0747868700434897,72728
218.0,11514811,1091,3030,125,66895,3045,1.0184245638101839,73095
219.0,11514478,1064,3058,128,67211,3058,0.9598002403262555,73455
220.0,11514163,1030,3073,131,67529,3071,0.8999995168696415,73804
221.0,11513868,988,3075,133,67848,3084,0.8401987934130276,74140
222.0,11513593,941,3063,135,68167,3097,0.7815744699290991,74462
223.0,11513339,890,3036,137,68484,3111,0.7252121636957932,74768
224.0,11513107,835,2995,138,68797,3125,0.6720304190168085,75055
225.0,11512895,778,2941,139,69106,3139,0.622729562458991,75325
226.0,11512702,721,2874,140,69408,3153,0.5777701717383981,75575
227.0,11512527,664,2796,139,69703,3167,0.5373792951879408,75805
228.0,11512370,610,2709,139,69990,3181,0.5015779431915871,76019
229.0,11512227,558,2614,138,70267,3194,0.47022132167750114,76213
230.0,11512098,509,2512,136,70534,3208,0.44304358354457835,76390
231.0,11511981,464,2407,134,70790,3222,0.4197006926810869,76553
232.0,11511874,422,2298,131,71036,3235,0.3998073659202792,76700
233.0,11511777,385,2189,128,71270,3248,0.38296625518754296,76835
234.0,11511689,351,2079,125,71493,3260,0.368789179235898,76957
235.0,11511608,320,1970,122,71704,3273,0.3569112305332316,77069
236.0,11511533,292,1864,118,71905,3285,0.34699906222903,77172
237.0,11511465,267,1760,114,72094,3296,0.3387547626189331,77264
238.0,11511402,245,1659,110,72273,3308,0.3319166056569176,77350
239.0,11511343,225,1562,106,72442,3319,0.3262577454260506,77429
240.0,11511289,207,1470,102,72601,3329,0.32158367798781956,77502
241.0,11511239,191,1381,98,72750,3339,0.3177290687911605,77568
242.0,11511192,176,1296,93,72890,3348,0.31455435663270087,77627
243.0,11511148,163,1216,89,73022,3358,0.3119424000942324,77685
244.0,11511108,151,1141,85,73146,3366,0.3097953258701481,77738
245.0,11511070,140,1069,81,73262,3375,0.3080316637578266,77787
246.0,11511035,130,1001,77,73371,3383,0.30658380310316713,77832
247.0,11511003,121,938,73,73473,3390,0.3053957736735332,77874
248.0,11510972,112,878,69,73568,3397,0.3044213349544324,77912
249.0,11510943,105,822,66,73658,3404,0.3036223476443535,77950
250.0,11510917,97,769,62,73741,3410,0.3029673966456643,77982
251.0,11510892,91,719,59,73820,3416,0.30243063398265746,78014
252.0,11510869,85,673,55,73893,3422,0.3019908113512491,78043
253.0,11510847,79,629,52,73962,3428,0.3016304744373437,78071
254.0,11510827,74,589,49,74026,3433,0.3013352940981657,78097
255.0,11510808,69,551,47,74086,3438,0.30109351258844896,78122
256.0,11510790,64,515,44,74142,3442,0.30089548599856164,78143
257.0,11510774,60,481,41,74195,3446,0.30073330682811783,78163
258.0,11510758,56,450,39,74244,3450,0.3006004930881276,78183
259.0,11510744,52,421,36,74290,3454,0.30049173249096073,78201
260.0,11510730,49,393,34,74333,3458,0.3004026721587292,78218
261.0,11510718,45,368,32,74373,3461,0.3003297458789019,78234
262.0,11510706,42,344,30,74411,3464,0.3002700322890718,78249
263.0,11510695,40,321,28,74446,3467,0.3002211385106939,78262
264.0,11510684,37,300,27,74479,3470,0.30018110470349274,78276
265.0,11510675,35,281,25,74509,3473,0.3001483258051929,78288
266.0,11510666,32,263,23,74538,3475,0.30012148737960387,78299
267.0,11510657,30,245,22,74565,3477,0.300099513041278,78309
268.0,11510649,28,229,20,74590,3480,0.30008152137545835,78319
269.0,11510642,26,214,19,74613,3482,0.3000667906436425,78328
270.0,11510635,25,200,18,74635,3484,0.30005472987120513,78337
271.0,11510629,23,187,17,74656,3485,0.3000448551653925,78345
272.0,11510623,21,175,16,74675,3487,0.3000367703190622,78353
273.0,11510617,20,164,15,74693,3489,0.3000301509256244,78361
274.0,11510612,19,153,14,74710,3490,0.30002473137027763,78367
275.0,11510607,17,143,13,74726,3491,0.3000202941771996,78373
276.0,11510602,16,134,12,74740,3493,0.3000166612863375,78379
277.0,11510598,15,125,11,74754,3494,0.30001368691048885,78384
278.0,11510594,14,117,10,74767,3495,0.3000112516865322,78389
279.0,11510590,13,109,10,74779,3496,0.3000092578864294,78394
280.0,11510587,12,102,9,74790,3497,0.30000762549603693,78398
281.0,11510583,11,95,8,74800,3498,0.300006289004515,78401
282.0,11510580,11,89,8,74810,3499,0.3000051947755883,78406
283.0,11510578,10,83,7,74819,3500,0.3000042988952293,78409
284.0,11510575,9,78,7,74828,3500,0.30000356540943235,78413
285.0,11510572,9,73,6,74836,3501,0.3000029648813859,78416
286.0,11510570,8,68,6,74843,3502,0.30000247321015866,78419
287.0,11510568,7,63,6,74850,3502,0.30000207066350454,78421
288.0,11510566,7,59,5,74857,3503,0.30000174108597816,78424
289.0,11510564,6,55,5,74863,3503,0.30000147125058707,78426
290.0,11510562,6,52,4,74869,3504,0.30000125032796376,78429
291.0,11510560,6,48,4,74874,3504,0.30000106945175736,78430
292.0,11510559,5,45,4,74879,3505,0.30000092136280415,78433
293.0,11510557,5,42,4,74884,3505,0.30000080011779673,78435
294.0,11510556,4,39,3,74888,3506,0.30000070085076225,78436
295.0,11510555,4,37,3,74892,3506,0.3000006195777762,78438
296.0,11510553,4,34,3,74896,3506,0.30000055303707485,78439
297.0,11510552,4,32,3,74900,3507,0.30000049855815086,78442
298.0,11510551,3,30,2,74903,3507,0.3000004539545767,78442
299.0,11510550,3,28,2,74906,3507,0.30000041743625633,78443
